problem,seed,algo,size
chemical_2_competition,3,feats,13
friction_dyn_one-hot,3,feats,20
friction_stat_one-hot,3,feats,17
nasa_battery_1_10min,3,feats,21
nasa_battery_2_20min,3,feats,21
nikuradse_1,3,feats,10
nikuradse_2,3,feats,23
chemical_1_tower,3,feats,3
flow_stress_phip0.1,3,feats,2
chemical_2_competition,3,featsls,12
friction_dyn_one-hot,3,featsls,18
friction_stat_one-hot,3,featsls,24
nasa_battery_1_10min,3,featsls,17
nasa_battery_2_20min,3,featsls,15
nikuradse_1,3,featsls,19
nikuradse_2,3,featsls,12
chemical_1_tower,3,featsls,6
flow_stress_phip0.1,3,featsls,11
chemical_2_competition,3,baseline,5
friction_dyn_one-hot,3,baseline,6
friction_stat_one-hot,3,baseline,3
nasa_battery_1_10min,3,baseline,10
nasa_battery_2_20min,3,baseline,15
nikuradse_1,3,baseline,15
nikuradse_2,3,baseline,6
chemical_1_tower,3,baseline,15
flow_stress_phip0.1,3,baseline,5
chemical_2_competition,4,linscal,6
friction_dyn_one-hot,4,linscal,14
friction_stat_one-hot,4,linscal,19
nasa_battery_1_10min,4,linscal,19
nasa_battery_2_20min,4,linscal,15
nikuradse_1,4,linscal,15
nikuradse_2,4,linscal,10
chemical_1_tower,4,linscal,9
flow_stress_phip0.1,4,linscal,4
chemical_2_competition,4,feats,13
friction_dyn_one-hot,4,feats,19
friction_stat_one-hot,4,feats,17
nasa_battery_1_10min,4,feats,26
nasa_battery_2_20min,4,feats,20
nikuradse_1,4,feats,17
nikuradse_2,4,feats,9
chemical_1_tower,4,feats,6
flow_stress_phip0.1,4,feats,4
chemical_2_competition,4,featsls,13
friction_dyn_one-hot,4,featsls,17
friction_stat_one-hot,4,featsls,21
nasa_battery_1_10min,4,featsls,22
nasa_battery_2_20min,4,featsls,25
nikuradse_1,4,featsls,20
nikuradse_2,4,featsls,16
chemical_1_tower,4,featsls,8
flow_stress_phip0.1,4,featsls,10
chemical_2_competition,4,baseline,2
friction_dyn_one-hot,4,baseline,7
friction_stat_one-hot,4,baseline,6
nasa_battery_1_10min,4,baseline,13
nasa_battery_2_20min,4,baseline,13
nikuradse_1,4,baseline,14
nikuradse_2,4,baseline,15
chemical_1_tower,4,baseline,13
flow_stress_phip0.1,4,baseline,12
chemical_2_competition,5,linscal,8
friction_dyn_one-hot,5,linscal,9
friction_stat_one-hot,5,linscal,14
nasa_battery_1_10min,5,linscal,22
nasa_battery_2_20min,5,linscal,15
nikuradse_1,5,linscal,7
nikuradse_2,5,linscal,24
chemical_1_tower,5,linscal,10
flow_stress_phip0.1,5,linscal,14
chemical_2_competition,5,feats,9
friction_dyn_one-hot,5,feats,14
friction_stat_one-hot,5,feats,16
nasa_battery_1_10min,5,feats,19
nasa_battery_2_20min,5,feats,20
nikuradse_1,5,feats,11
nikuradse_2,5,feats,16
chemical_1_tower,5,feats,4
flow_stress_phip0.1,5,feats,4
chemical_2_competition,5,featsls,11
friction_dyn_one-hot,5,featsls,13
friction_stat_one-hot,5,featsls,19
nasa_battery_1_10min,5,featsls,19
nasa_battery_2_20min,5,featsls,28
nikuradse_1,5,featsls,16
nikuradse_2,5,featsls,15
chemical_1_tower,5,featsls,6
flow_stress_phip0.1,5,featsls,13
chemical_2_competition,5,baseline,5
friction_dyn_one-hot,5,baseline,5
friction_stat_one-hot,5,baseline,6
nasa_battery_1_10min,5,baseline,17
nasa_battery_2_20min,5,baseline,14
nikuradse_1,5,baseline,14
nikuradse_2,5,baseline,7
chemical_1_tower,5,baseline,5
flow_stress_phip0.1,5,baseline,9
chemical_2_competition,6,linscal,7
friction_dyn_one-hot,6,linscal,24
friction_stat_one-hot,6,linscal,10
nasa_battery_1_10min,6,linscal,9
nasa_battery_2_20min,6,linscal,5
nikuradse_1,6,linscal,17
nikuradse_2,6,linscal,21
chemical_1_tower,6,linscal,7
flow_stress_phip0.1,6,linscal,8
chemical_2_competition,6,feats,9
friction_dyn_one-hot,6,feats,23
friction_stat_one-hot,6,feats,26
nasa_battery_1_10min,6,feats,22
nasa_battery_2_20min,6,feats,18
nikuradse_1,6,feats,18
nikuradse_2,6,feats,12
chemical_1_tower,6,feats,11
flow_stress_phip0.1,6,feats,4
chemical_2_competition,6,featsls,19
friction_dyn_one-hot,6,featsls,23
friction_stat_one-hot,6,featsls,20
nasa_battery_1_10min,6,featsls,24
nasa_battery_2_20min,6,featsls,20
nikuradse_1,6,featsls,17
nikuradse_2,6,featsls,26
chemical_1_tower,6,featsls,5
flow_stress_phip0.1,6,featsls,9
chemical_2_competition,6,baseline,2
friction_dyn_one-hot,6,baseline,4
friction_stat_one-hot,6,baseline,3
nasa_battery_1_10min,6,baseline,17
nasa_battery_2_20min,6,baseline,14
nikuradse_1,6,baseline,19
nikuradse_2,6,baseline,18
chemical_1_tower,6,baseline,10
flow_stress_phip0.1,6,baseline,10
chemical_2_competition,7,linscal,13
friction_dyn_one-hot,7,linscal,10
friction_stat_one-hot,7,linscal,23
nasa_battery_1_10min,7,linscal,16
nasa_battery_2_20min,7,linscal,13
nikuradse_1,7,linscal,12
nikuradse_2,7,linscal,19
chemical_1_tower,7,linscal,10
flow_stress_phip0.1,7,linscal,7
chemical_2_competition,7,feats,10
friction_dyn_one-hot,7,feats,15
friction_stat_one-hot,7,feats,29
nasa_battery_1_10min,7,feats,21
nasa_battery_2_20min,7,feats,17
nikuradse_1,7,feats,13
nikuradse_2,7,feats,17
chemical_1_tower,7,feats,9
flow_stress_phip0.1,7,feats,3
chemical_2_competition,7,featsls,12
friction_dyn_one-hot,7,featsls,18
friction_stat_one-hot,7,featsls,19
nasa_battery_1_10min,7,featsls,8
nasa_battery_2_20min,7,featsls,18
nikuradse_1,7,featsls,18
nikuradse_2,7,featsls,16
chemical_1_tower,7,featsls,5
flow_stress_phip0.1,7,featsls,12
chemical_2_competition,7,baseline,9
friction_dyn_one-hot,7,baseline,4
friction_stat_one-hot,7,baseline,4
nasa_battery_1_10min,7,baseline,11
nasa_battery_2_20min,7,baseline,10
nikuradse_1,7,baseline,19
nikuradse_2,7,baseline,11
chemical_1_tower,7,baseline,13
flow_stress_phip0.1,7,baseline,11
chemical_2_competition,8,linscal,8
friction_dyn_one-hot,8,linscal,21
friction_stat_one-hot,8,linscal,17
nasa_battery_1_10min,8,linscal,15
nasa_battery_2_20min,8,linscal,17
nikuradse_1,8,linscal,18
nikuradse_2,8,linscal,16
chemical_1_tower,8,linscal,11
flow_stress_phip0.1,8,linscal,13
chemical_2_competition,8,feats,18
friction_dyn_one-hot,8,feats,20
friction_stat_one-hot,8,feats,23
nasa_battery_1_10min,8,feats,19
nasa_battery_2_20min,8,feats,9
nikuradse_1,8,feats,18
nikuradse_2,8,feats,19
chemical_1_tower,8,feats,4
flow_stress_phip0.1,8,feats,7
chemical_2_competition,8,featsls,8
friction_dyn_one-hot,8,featsls,19
friction_stat_one-hot,8,featsls,29
nasa_battery_1_10min,8,featsls,17
nasa_battery_2_20min,8,featsls,23
nikuradse_1,8,featsls,18
nikuradse_2,8,featsls,19
chemical_1_tower,8,featsls,10
flow_stress_phip0.1,8,featsls,10
chemical_2_competition,8,baseline,5
friction_dyn_one-hot,8,baseline,9
friction_stat_one-hot,8,baseline,5
nasa_battery_1_10min,8,baseline,13
nasa_battery_2_20min,8,baseline,10
nikuradse_1,8,baseline,10
nikuradse_2,8,baseline,13
chemical_1_tower,8,baseline,12
flow_stress_phip0.1,8,baseline,21
chemical_2_competition,9,linscal,12
friction_dyn_one-hot,9,linscal,10
friction_stat_one-hot,9,linscal,15
nasa_battery_1_10min,9,linscal,23
nasa_battery_2_20min,9,linscal,16
nikuradse_1,9,linscal,14
nikuradse_2,9,linscal,18
chemical_1_tower,9,linscal,10
flow_stress_phip0.1,9,linscal,13
chemical_2_competition,9,feats,8
friction_dyn_one-hot,9,feats,24
friction_stat_one-hot,9,feats,21
nasa_battery_1_10min,9,feats,21
nasa_battery_2_20min,9,feats,15
nikuradse_1,9,feats,12
nikuradse_2,9,feats,11
chemical_1_tower,9,feats,2
flow_stress_phip0.1,9,feats,11
chemical_2_competition,9,featsls,12
friction_dyn_one-hot,9,featsls,18
friction_stat_one-hot,9,featsls,20
nasa_battery_1_10min,9,featsls,26
nasa_battery_2_20min,9,featsls,16
nikuradse_1,9,featsls,16
nikuradse_2,9,featsls,14
chemical_1_tower,9,featsls,8
flow_stress_phip0.1,9,featsls,11
chemical_2_competition,9,baseline,10
friction_dyn_one-hot,9,baseline,5
friction_stat_one-hot,9,baseline,8
nasa_battery_1_10min,9,baseline,23
nasa_battery_2_20min,9,baseline,15
nikuradse_1,9,baseline,15
nikuradse_2,9,baseline,17
chemical_1_tower,9,baseline,10
flow_stress_phip0.1,9,baseline,11
